Amount,Hour_of_Day,Distance_from_Home_KM,Merchant_Category,Transaction_Method,Card_Type,Recent_24h_Transactions,Risk_Score_V1,Risk_Score_V2,Is_Fraud
625.08,9.7,4.2,Grocery,In-Person Chip,Visa,3,-1.374,0.747,0
15.85,14.1,21.9,Dining,Online POS,Mastercard,0,1.992,-0.986,0
31.52,14.5,14.4,Online Retail,In-Person Chip,Visa,0,-2.087,0.493,0
44.77,5.8,20.9,ATM Withdrawal,In-Person Chip,Mastercard,3,-0.945,-0.532,0
130.89,20.9,3.6,Grocery,In-Person Chip,Visa,4,0.212,0.775,0
17.71,14.1,4.6,Online Retail,Online POS,Visa,0,-0.35,1.302,0
56.58,6.9,5.9,Travel & Airlines,Contactless Tap,Amex,2,-1.355,-1.686,0
51.91,13.9,4.5,Electronics,Online POS,Mastercard,1,-2.791,-0.744,0
88.52,15.8,3.8,Dining,Online POS,Visa,3,0.213,-1.629,0
42.29,18.1,18.1,Grocery,In-Person Chip,Mastercard,5,0.238,-3.361,0
258.65,14.0,1.8,Dining,Contactless Tap,Amex,1,1.672,0.76,0
70.89,6.8,19.6,Online Retail,In-Person Chip,Visa,1,1.985,-1.461,0
13.47,15.4,2.7,Grocery,Contactless Tap,Visa,3,-0.347,-0.197,0
138.14,12.7,17.4,Gas Station,In-Person Chip,Mastercard,1,-0.132,1.618,0
64.11,16.1,12.0,Grocery,In-Person Chip,Visa,2,0.043,-0.067,0
18.34,13.8,38.0,Electronics,Online POS,Visa,1,-0.565,0.557,0
84.17,11.7,0.3,ATM Withdrawal,ATM Cash,Visa,1,1.453,-0.228,0
24.51,22.0,1.7,Gas Station,In-Person Chip,Amex,5,0.032,1.6,1
66.62,13.8,6.5,Dining,Contactless Tap,Visa,3,0.03,0.695,0
69.13,6.2,0.5,Grocery,Contactless Tap,Mastercard,1,-0.54,-0.967,0
348.66,17.0,0.7,Luxury Goods,ATM Cash,Visa,8,2.195,3.317,1
112.35,14.2,0.3,Electronics,In-Person Chip,Mastercard,2,1.359,0.711,0
100.88,14.5,7.9,Gas Station,Contactless Tap,Visa,3,0.018,-0.804,0
163.24,16.3,16.0,Gas Station,Contactless Tap,Amex,0,0.534,1.13,0
11.77,8.4,1.7,Online Retail,Online POS,Discover,2,0.263,0.568,0
5.63,16.0,59.1,Online Retail,Online POS,Visa,12,-1.227,0.562,1
85.22,17.6,12.6,Dining,In-Person Chip,Mastercard,2,-1.012,-1.224,0
170.48,12.7,16.0,Grocery,In-Person Chip,Visa,0,-0.43,0.63,0
36.02,18.8,24.0,Online Retail,Contactless Tap,Mastercard,3,1.874,0.657,0
50.47,12.1,8.0,Travel & Airlines,Contactless Tap,Mastercard,5,0.181,-0.78,0
81.06,8.4,2.8,Gas Station,Online POS,Mastercard,1,-0.933,0.601,0
49.17,14.9,29.6,Grocery,In-Person Chip,Mastercard,5,0.695,-3.337,0
157.83,19.8,13.2,Grocery,Contactless Tap,Visa,1,1.112,1.084,0
69.03,4.7,19.6,Online Retail,Online POS,Visa,3,-0.051,0.278,0
47.3,14.8,8.0,Grocery,In-Person Chip,Mastercard,4,-0.243,0.582,0
38.51,20.0,6.0,Dining,Online POS,Amex,4,1.059,0.054,0
208.58,10.2,13.7,ATM Withdrawal,In-Person Chip,Mastercard,2,-0.73,0.078,0
111.93,14.6,18.6,Gas Station,Contactless Tap,Visa,3,0.597,0.619,0
48.75,22.2,7.0,Luxury Goods,In-Person Chip,Visa,2,2.329,0.487,0
9.32,21.1,8.0,Online Retail,In-Person Chip,Mastercard,3,0.996,0.618,0
